"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH","custom"
"1973/1974",1974,120,120,0,100,1857,1798.5,85.3406500756217,2166.37589335412,2538
"1975/1976",1976,120,120,0,100,1716,1712,81.5001078731061,1831.58032717442,2298
"1976/1977",1977,121,121,0,100,1673,1681.5,83.3737381429498,1892.02595822851,2160
"1977/1978",1978,120,120,0,100,1598,1467.5,78.1512531894135,2653.05905780636,2254
"1978/1979",1979,120,120,0,100,1143,972,67.2943445655077,1428.62993163429,1315
"1979/1980",1980,120,120,0,100,1632,1495,82.0035310733333,2356.14273313485,1971
"1980/1981",1981,121,121,0,100,1404,1114,74.481859349459,2085.06664347585,1684
"1981/1982",1982,120,120,0,100,1414,1229,75.4227878682416,1945.92209330545,1891
"1982/1983",1983,120,120,0,100,1642,1654,83.3754096519399,2903.24473117286,2078
"1983/1984",1984,120,120,0,100,1612,1464.5,81.441299621732,2103.47881998133,2346
"1984/1985",1985,121,121,0,100,1358,1324,72.4556158755688,2015.49139574333,1978
"1985/1986",1986,120,120,0,100,1173,1099,68.4308604267103,1795.11878122611,1451
"1986/1987",1987,120,120,0,100,1287,1245.5,73.3684279666845,2482.21630546497,1643
"1987/1988",1988,120,120,0,100,1812,1881.5,87.6154546886855,2823.44306019787,2278
"1988/1989",1989,121,121,0,100,1811,1968.5,90.7693234280136,2623.76097060961,2348
"1989/1990",1990,120,120,0,100,1567,1660.5,83.2529580583396,4573.46061373153,1952
"1990/1991",1991,120,120,0,100,1499,1422,77.8200290209015,1888.2677176703,1979
"1991/1992",1992,120,120,0,100,1691,1657,83.3144289465517,2057.80478541786,2424
"1992/1993",1993,121,121,0,100,1682,1776,86.3948508238573,2731.15061957855,2416
"1993/1994",1994,120,120,0,100,1814,1753.5,82.479636819015,1856.10874435073,2659
"1994/1995",1995,120,120,0,100,1411,1795,85.7808779703823,5312.40740811988,1931
"1995/1996",1996,120,120,0,100,1385,1129,72.429126860116,1364.99416291993,1756
"1996/1997",1997,121,121,0,100,1430,1392,75.0318931174324,2675.98660971411,1767
"1997/1998",1998,120,120,0,100,1577,1790.5,85.5572910380793,3954.03130530939,2070
"1998/1999",1999,120,120,0,100,1735,1638,78.964007549936,2043.50127018895,2390
"1999/2000",2000,120,120,0,100,1931,2038,88.446646494639,2397.57079451974,2716
"2000/2001",2001,121,121,0,100,1547,1737,83.5848682730484,3761.9406151406,1914
"2001/2002",2002,120,120,0,100,1375,1575,80.5674979239984,3381.12439733301,1733
"2002/2003",2003,120,120,0,100,1382,1569.5,82.399274308842,3197.8622989438,1713
"2003/2004",2004,120,120,0,100,1615,1671.5,80.7551088091022,3788.332308674,2224
"2004/2005",2005,121,121,0,100,1559,1459.5,77.9033697552786,1812.78053434798,1876
"2005/2006",2006,120,120,0,100,1689,1380.5,76.2526454293284,1930.47099662642,2412
"2006/2007",2007,120,120,0,100,1431,2016.5,87.8143085294178,5691.60863134824,1737
"2007/2008",2008,120,120,0,100,1633,1859,86.7057712506239,3234.17117286474,2194
"2008/2009",2009,121,121,0,100,1698,1435,79.0551030958077,1764.03072315012,2108
"2009/2010",2010,120,120,0,100,1207,1299.5,71.2708511675382,3277.2939496641,1478
"2010/2011",2011,120,120,0,100,1302,1170.5,68.4571265483701,2904.96306943567,1625
"2011/2012",2012,120,120,0,100,1671,1863,80.8478087809708,3106.05300334189,2399
"2012/2013",2013,121,121,0,100,1442,1606,77.355056963228,2228.62444257038,1685
"2013/2014",2014,120,120,0,100,1989,2233.5,91.4704370161699,3119.11164650833,2885
"2014/2015",2015,120,120,0,100,1848,1754,83.8341206211398,2975.13425218267,2627
"2015/2016",2016,120,120,0,100,1409,1732,81.9895079124735,6848.5040694857,1827
"2016/2017",2017,121,121,0,100,1704,1685,84.123380674655,2477.69284918299,2281
"2017/2018",2018,120,120,0,100,1878,1858.5,83.7300712965425,2272.82076286571,2525
"2018/2019",2019,120,120,0,100,1690,1701,83.8561093350436,4553.3661249741,2191
